Policy Name,Confidence Score
Alibaba Cloud disk encryption is disabled,74
Alibaba Cloud launch template data disks are not encrypted,74
Alibaba RDS instance has log_connections disabled,67
Alibaba cloud ALB ACL does not restrict public access,75
All Jenkins instance jobs run with high privileges,72
Amazon EFS does not have an AWS Backup backup plan,67
Amazon EMR clusters' security groups are open to the world,78
Amazon MQ Broker logging is not enabled,72
Amazon MSK cluster logging is not enabled,72
Amazon Redshift clusters do not have automatic snapshots enabled,67
An HTTP file upload attempt detected where the file does not conform to the permitted file types,74
An S3 bucket must have a lifecycle configuration,67
An attempt to exploit known vulnerabilities observed in HTTP traffic,70
AngularJS Misconfiguration Strict Contextual Escaping Disabled,68
AngularJS misconfiguration dangerous protocol allowed,69
Anomalous compute provisioning activity,68
Anonymous blob access configured in Azure storage account,68
Anthropic API key detected in code,67
Any organization member In GitHub can create private repositories,69
Any organization member in GitHub can create internal repositories,70
App Configuration Encryption Block Not Set,71
App Configuration Not Using Standard SKU,73
App Configuration Public Access Enabled,72
App Configuration Using Local Authentication,71
App Configuration Without Purge Protection Enabled,67
App Service Environment is not zone redundant,73
App Service Plan is not zone redundant,73
App Service is not registered with an Azure Active Directory account,70
App service disables detailed error messages,72
App service does not enable failed request tracing,71
App services do not use Azure files,69
Application gateway does not use WAF in Detection or Prevention modes,69
Approvals for pull requests on the default branch in GitHub are not revoked when new commits are pushed,73
Apps Embedded detected with Runtime Incidents,67
Archiving Bot activity,64
Array does not have a maximum number of items,67
Artifactory Credentials detected in code,68
Asana Key detected in code,67
Athena Database is not encrypted at rest,67
Athena Workgroup is not encrypted,70
Athena workgroup does not prevent disabling encryption,70
Atlassian Oauth2 Key detected in code,67
Attack tool signature detected in HTTP traffic,67
Attempt to exploit known vulnerabilities (CVE-2015-1635 - MS15-034 Microsoft IIS DoS or RCE) observed in HTTP traffic,68
Attempt to exploit known vulnerabilities (CVE-2018-6389 - WordPress <= 4.9.2 DoS via load-scripts or load-styles) observed in HTTP traffic,68
Attempt to exploit known vulnerabilities (CVE-2018-7600 - Drupalgeddon2) observed in HTTP traffic,69
Attempt to exploit known vulnerabilities (CVE-2019-11043 - Nginx PHP-FPM Remote Code Execution) observed in HTTP traffic,69
"Attempt to exploit known vulnerabilities (CVE-2019-2725, CVE-2019-2729 - WebLogic) observed in HTTP traffic",69
"Attempt to exploit known vulnerabilities (CVE-2020-14882, CVE-2020-14883 - WebLogic RCE) observed in HTTP traffic",69
"Attempt to exploit known vulnerabilities (CVE-2020-17530, CVE-2019-0230, CVE-2018-11776, CVE-2017-5638, CVE-2016-4461, CVE-2016-0785, CVE-2013-2135, CVE-2013-2134, CVE-2022-26134, CVE-2016-3081, CVE-2017-12611 - OGNL Evaluation Injection) observed in HTTP traffic",66
Attempt to exploit known vulnerabilities (CVE-2021-26855 - ProxyLogon/HAFNIUM RCE Attack Chain) observed in HTTP traffic,68
"Attempt to exploit known vulnerabilities (CVE-2021-26858, CVE-2021-27065 - ProxyLogon/HAFNIUM RCE Attack Chain) observed in HTTP traffic",68
Attempt to exploit known vulnerabilities (CVE-2021-32648 - OctocberCMS) observed in HTTP traffic,69
Attempt to exploit known vulnerabilities (CVE-2021-34473 - ProxyShell) observed in HTTP traffic,70
Attempt to exploit known vulnerabilities (CVE-2021-39144 - Unsafe Deserialization in XStream) observed in HTTP traffic,69
Attempt to exploit known vulnerabilities (CVE-2021-39226 - Grafana Snapshot authentication bypass) observed in HTTP traffic,68
Attempt to exploit known vulnerabilities (CVE-2021-44228 - Apache Log4j2 < 2.15.0) observed in HTTP traffic,68
Attempt to exploit known vulnerabilities (CVE-2021-45046 - Apache Log4j2 < 2.16.0) observed in HTTP traffic,68
"Attempt to exploit known vulnerabilities (CVE-2022-0072, CVE-2022-0073, CVE-2022-0074 - OpenLiteSpeed Remote Code Execution) observed in HTTP traffic",68
Attempt to exploit known vulnerabilities (CVE-2022-21907 - Double Free in http.sys Remote Code Execution) observed in HTTP traffic,69
"Attempt to exploit known vulnerabilities (CVE-2022-22963, CVE-2022-22965 - SpringShell) observed in HTTP traffic",68
Attempt to exploit known vulnerabilities (CVE-2022-26138 - Confluence authentication bypass) observed in HTTP traffic,69
Attempt to exploit known vulnerabilities (CVE-2022-27925 - Zimbra RCE) observed in HTTP traffic,69
Attempt to exploit known vulnerabilities (CVE-2022-33891 - Apache Spark RCE) observed in HTTP traffic,69
Attempt to exploit known vulnerabilities (CVE-2022-35914 - GLPI Project RCE) observed in HTTP traffic,70
Attempt to exploit known vulnerabilities (CVE-2023-22515 - Confluence authentication bypass ) observed in HTTP traffic,69
Attempt to exploit known vulnerabilities (CVE-2023-2253 - DoS in distribution/distribution) observed in HTTP traffic,66
Attempt to exploit known vulnerabilities (CVE-2023-50164 - Apache Struts Directory Traversal) observed in HTTP traffic,68
Audit log not installed on Jenkins,67
Auth0 Key detected in code,67
"Authentication bypass (BAC & Privilege Escalation) exploitation attempt on AWS EC2 instance with known exploitable vulnerability [Grafana Snapshot, CVE-2021-39226]",65
"Authentication bypass (BAC & Privilege Escalation) exploitation attempt on Azure Virtual Machine with known exploitable vulnerability [Grafana Snapshot Authentication Bypass, CVE-2021-39226]",65
"Authentication bypass (BAC & Privilege Escalation) exploitation attempt on GCP VM with known exploitable vulnerability [Grafana Snapshot Authentication Bypass, CVE-2021-39226]",65
"Authentication bypass (BAC) exploitation attempt on AWS EC2 instance with known exploitable vulnerability [Confluence, CVE-2022-26138]",66
"Authentication bypass (BAC) exploitation attempt on Azure Virtual Machine with known exploitable vulnerability [Confluence, CVE-2022-26138]",66
"Authentication bypass (BAC) exploitation attempt on GCP VM with known exploitable vulnerability [Confluence, CVE-2022-26138]",66
"Authentication bypass exploitation attempt on AWS EC2 with known exploitable vulnerability (CVE-2023-22515, Confluence)",66
"Authentication bypass exploitation attempt on Azure VM with known exploitable vulnerability (CVE-2023-22515, Confluence)",66
"Authentication bypass exploitation attempt on GCP VM with known exploitable vulnerability (CVE-2023-22515, Confluence)",66
"Authorization bypass risk due to a publicly exposed AWS EC2 instance with an unauthorized Docker API access vulnerability (Docker, CVE-2024-41110)",68
"Authorization bypass risk due to a publicly exposed Azure Virtual Machine with an unauthorized Docker API access vulnerability (Docker, CVE-2024-41110)",68
"Authorization bypass risk due to a publicly exposed GCP VM instance with an unauthorized Docker API access vulnerability (Docker, CVE-2024-41110)",68
Authorization is not robust,71
Authorization type for API GatewayV2 routes is not specified,75
Auto scaling groups associated with a load balancer do not use elastic load balancing health checks,70
Auto-merge configured in pipeline,68
Automatic OS image patching is disabled for Virtual Machine scale sets,73
Autoscaling groups did not supply tags to launch configurations,69
Azure ACR HTTPS not enabled for webhook,72
Azure ACR enables anonymous image pulling,70
"Azure AD Groups, Service Principals and Managed Identities with Administrative Permissions",68
"Azure AD Groups, Service Principals and Managed Identities with Excessive Policies",69
"Azure AD Groups, Service Principals and Managed Identities with IAM Data Read permissions are unused for 90 days",70
"Azure AD Groups, Service Principals and Managed Identities with IAM Data Write permissions are unused for 90 days",71
"Azure AD Groups, Service Principals and Managed Identities with IAM Metadata Read permissions are unused for 90 days",71
"Azure AD Groups, Service Principals and Managed Identities with IAM Metadata Write permissions are unused for 90 days",71
Azure AD Users can consent to apps accessing company data on their behalf is enabled,67
Azure AD user with effective permissions to create AWS IAM users,68
Azure AD user with permissions to manage Azure permissions broadly that was not used in the last 90 days,70
Azure AD user with the Azure built-in roles of Contributor,70
Azure AD user with the Azure built-in roles of Owner,71
Azure AD user with the Azure built-in roles of Reader,71
Azure AD users with broad Key Vault access through Built-in Azure roles,68
Azure AD users with broad Key Vault management access,71
Azure AKS K8s service with network path from the internet (0.0.0.0/0),67
Azure AKS K8s service with network path from the internet (0.0.0.0/0) on ports 80/443,69
Azure AKS K8s service with network path from the untrust internet source on ports with high risk,68
Azure AKS cluster Azure CNI networking not enabled,69
Azure AKS cluster HTTP application routing enabled,70
Azure AKS cluster configured with overly permissive API server access,74
Azure AKS cluster is not configured with disk encryption set,70
Azure AKS cluster monitoring not enabled,70
Azure AKS cluster network policies are not enforced,71
Azure AKS cluster nodes have public IP addresses,70
Azure AKS cluster pool profile count - windows - contains at least 1 node,67
Azure AKS cluster pool profile count - windows - no nodes,70
Azure AKS cluster pool profile count contains less than 3 nodes,70
Azure AKS enable role-based access control (RBAC) not enforced,71
Azure Active Directory Guest users found,67
Azure Active Directory MFA is not enabled for user,71
Azure Active Directory Security Defaults is disabled,72
Azure Activity Log retention should not be set to less than 365 days,69
Azure Activity log alert for Create or update SQL server firewall rule does not exist,68
Azure Activity log alert for Create or update network security group does not exist,69
Azure Activity log alert for Create or update network security group rule does not exist,69
Azure Activity log alert for Create or update public IP address rule does not exist,68
Azure Activity log alert for Create or update security solution does not exist,69
Azure Activity log alert for Create policy assignment does not exist,70
Azure Activity log alert for Delete SQL server firewall rule does not exist,68
Azure Activity log alert for Delete network security group does not exist,70
Azure Activity log alert for Delete network security group rule does not exist,70
Azure Activity log alert for Delete public IP address rule does not exist,69
Azure Activity log alert for Delete security solution does not exist,69
Azure Activity log alert for Update security policy does not exist,69
Azure Activity log alert for delete policy assignment does not exist,70
Azure Administrators with IAM permissions are unused for 90 days,72
Azure App Service Environment configured with weak TLS cipher suites,69
Azure App Service Health Check Missing,69
Azure App Service Instance Lacks Redundancy,70
Azure App Service Not Always On,65
Azure App Service Plan is Not Suitable for Production,76
Azure App Service Web app authentication is off,70
Azure App Service Web app client certificate is disabled,71
Azure App Service Web app does not use latest Java version,65
Azure App Service Web app does not use latest PHP version,65
Azure App Service Web app does not use latest Python version,66
Azure App Service Web app doesn't have a Managed Service Identity,68
Azure App Service Web app doesn't redirect HTTP to HTTPS,64
Azure App Service Web app doesn't use HTTP 2.0,65
Azure App Service Web app doesn't use latest .Net Core version,66
Azure App Service Web app doesn't use latest .Net framework version,67
Azure App Service Web app doesn't use latest Java version,66
Azure App Service Web app doesn't use latest PHP version,65
Azure App Service Web app doesn't use latest Python version,66
Azure App Service Web app doesn't use latest TLS version,66
Azure App Service basic authentication enabled,72
Azure App Service web apps with public network access,73
Azure App Services FTP deployment is All allowed,74
Azure App Services Remote debugging is enabled,70
Azure App service HTTP logging is disabled,71
Azure App service slot does not have debugging disabled,69
Azure App's service slot does not use the latest version of TLS encryption,71
Azure Application Gateway WAF policy is not enabled in prevention mode,71
Azure Application Gateway Web application firewall (WAF) policy rule for Remote Command Execution is disabled,73
Azure Application Gateway does not have the Web application firewall (WAF) enabled,70
Azure Application Gateway is configured with SSL policy having TLS version 1.1 or lower,70
Azure Application Gateway listener not secured with SSL profile,68
Azure Application Insights configured with overly permissive network access,72
Azure Application Insights not configured with Azure Active Directory (Azure AD) authentication,65
Azure Application gateways listener that allow connection requests over HTTP,68
Azure Automation account configured with overly permissive network access,73
Azure Automation account is not configured with managed identity,67
Azure Automation account variables are not encrypted,69
Azure Batch Account configured with overly permissive network access,72
Azure Batch account does not use key vault to encrypt data,63
Azure Batch account is not configured with managed identity,65
Azure Blob Storage utilized for Azure Machine Learning training job data,73
Azure Built-in logging for Azure function app is disabled,74
Azure CDN Doesn't Disable HTTP Endpoint,68
Azure CDN Endpoint Custom domains is not configured with HTTPS,67
Azure CDN Endpoint Custom domains using insecure TLS version,70
Azure CDN Using Outdated TLS Encryption,68
Azure Cache for Redis not configured with data in transit encryption,70
Azure Client Certificates are not enforced for API management,74
Azure Cognitive Search With Global IP Allowance,69
Azure Cognitive Search Without Managed Identities,67
Azure Cognitive Search Without SLA Index Updates,67
Azure Cognitive Search Without SLA for Search Index Queries,71
Azure Cognitive Services account configured with local authentication,67
Azure Cognitive Services account configured with public network access,72
Azure Cognitive Services account hosted with OpenAI is not configured with data loss prevention,71
Azure Cognitive Services account is not configured with managed identity,68
Azure Cognitive Services account not configured with private endpoint,67
Azure Cognitive Services does not Customer Managed Keys (CMKs) for encryption,74
Azure Compute Resource Assigned Managed Identity Assignment Permissions Which Could Lead to Privilege Escalation,65
Azure Compute Resource Assigned Role & Role Assignment Related Permissions Which Could Lead to Privilege Escalation,68
Azure Compute workload assigning roles to resources,73
Azure Compute workload creating or modifying route tables,68
Azure Compute workload deleting network security groups,69
Azure Compute workload disabling Azure alerts,67
Azure Compute workload disabling anti-malware extensions,68
Azure Compute workload modifying Key Vault configurations,70
Azure Container Instance environment variable with regular value type,66
Azure Container Instance is not configured with virtual network,64
Azure Container Instance not configured with the managed identity,69
Azure Container Registry (ACR) Does Not Have a Quarantine Policy Enabled,69
Azure Container Registry (ACR) Doesn't Have a Retention Policy Set,68
Azure Container Registry (ACR) Isn't Configured to Use Signed/Trusted Images,66
Azure Container Registry (ACR) not zone redundant,68
Azure Container Registry dedicated data endpoint is disabled,68
Azure Container Registry does not use a dedicated resource group,69
Azure Container Registry not encrypted with Customer Managed Key (CMK),67
Azure Container Registry using the deprecated classic registry,70
Azure Container Registry with ARM audience token authentication enabled,69
Azure Container Registry with anonymous authentication enabled,70
Azure Container Registry with exports enabled,67
Azure Container Registry with local admin account enabled,68
Azure Container Registry with repository scoped access token enabled,72
Azure Container registries Public access to All networks is enabled,74
Azure Cosmos DB (PaaS) instance with network path from the untrust internet source,67
Azure Cosmos DB IP range filter not configured,67
Azure Cosmos DB Private Endpoint Connection is not configured,66
Azure Cosmos DB Virtual network is not configured,66
Azure Cosmos DB allows traffic from public Azure datacenters,70
Azure Cosmos DB enables public network access,71
Azure Cosmos DB key based authentication is enabled,70
Azure CosmosDB does not have Local Authentication disabled,68
Azure Custom Role Administering Resource Locks not assigned,65
Azure DNS Zone having dangling DNS Record vulnerable to subdomain takeover associated with Azure Storage account blob,66
Azure DNS Zone having dangling DNS Record vulnerable to subdomain takeover associated with Web App Service,66
Azure Data Explorer cluster disk encryption is disabled,72
Azure Data Explorer cluster double encryption is disabled,72
Azure Data Explorer encryption at rest does not use a customer-managed key,69
Azure Data Explorer without SLA,67
Azure Data Factory (V2) configured with overly permissive network access,72
Azure Data Factory (V2) is not configured with managed identity,69
Azure Data Factory does not use Git repository for source control,73
Azure Data exfiltration protection for Azure Synapse workspace is disabled,73
Azure Database for MariaDB not configured with private endpoint,73
Azure Database for MySQL flexible server firewall rule allow access to all IPv4 address,72
Azure Database for MySQL flexible server public network access setting is enabled,77
Azure Database for MySQL server not configured with private endpoint,73
Azure Databricks Workspaces not using customer-managed key for root DBFS encryption,72
Azure Databricks workspace is public,63
Azure Event Grid Domain Local Authentication Enabled,68
Azure Event Grid Domain Managed Identity Provider is Disabled,67
Azure Event Grid Topic Local Authentication Enabled,68
Azure Event Grid Topic Managed Identity Provider,69
Azure Event Grid Topic Public Network Access,71
Azure Event Grid domain public network access is enabled,71
Azure Event Hub Instance not defined with authorization rule,67
Azure Event Hub Namespace having authorization rules except RootManageSharedAccessKey,68
Azure Event Hub Namespace is not zone redundant,70
Azure Firewall does not define a firewall policy,69
Azure Front Door (Classic) Web application firewall (WAF) policy rule for Remote Command Execution is disabled,72
Azure Front Door does not have the Azure Web application firewall (WAF) enabled,69
Azure Function App authentication is off,68
Azure Function App client certificate is disabled,69
Azure Function App doesn't have a Managed Service Identity,68
Azure Function App doesn't redirect HTTP to HTTPS,65
Azure Function App doesn't use HTTP 2.0,64
Azure Function App doesn't use latest TLS version,65
Azure Function App with administrative permissions,68
Azure Function App with public access linked to Blob Storage,71
Azure Function app configured with public network access,71
Azure Functions HTTP Trigger Key detected in code,68
Azure GitHub Actions OIDC trust policy is insecurely configured,67
Azure Guest User Invite not restricted to users with specific admin role,67
Azure HTTP (port 80) access from the internet is not restricted,72
Azure IAM effective permissions are over-privileged (7 days),68
Azure IAM effective permissions are over-privileged (90 days),68
Azure IoT Hub enables public network access,72
Azure Key Vault Firewall is not enabled,70
Azure Key Vault Key has no expiration date (Non-RBAC Key vault),66
Azure Key Vault Key has no expiration date (RBAC Key vault),66
Azure Key Vault Keys does not have expiration date,66
Azure Key Vault Public Network Access Control,73
Azure Key Vault Purge protection is not enabled,69
Azure Key Vault Role Based Access control is disabled,71
Azure Key Vault audit logging is disabled,71
Azure Key Vault is not recoverable,68
Azure Key Vault secret has no expiration date (Non-RBAC Key vault),67
Azure Key Vault secret has no expiration date (RBAC Key vault),67
Azure Key Vault secrets does not have expiration date,65
Azure Key vault Private endpoint connection is not configured,66
Azure Key vault used for machine learning workspace secrets storage is not enabled with audit logging,72
Azure Key vaults diagnostics logs are disabled,71
Azure Kubernetes Cluster (AKS) Nodes Do Not Use Scale Sets,68
Azure Kubernetes Cluster (AKS) Nodes Don't Limit the Maximum Pods to Greater than 50,66
Azure Kubernetes Service (AKS) local admin account is enabled,70
Azure Lateral Movement Through SSH Key Replacement and Managed Identity Exploitation on VM,69
Azure Lateral Movement via VM Command Execution Leveraging Managed Identity,66
Azure Linux and Windows Virtual Machines does not utilize Managed Disks,68
Azure Linux scale set does not use an SSH key,68
Azure Load Balancer diagnostics logs are disabled,72
Azure Log Analytics workspace configured with overly permissive network access,74
Azure Log analytics linked storage account is not configured with CMK encryption,70
Azure Logic App does not utilize HTTP 2.0 version,67
Azure Logic app configured with public network access,72
Azure Logic app does not redirect HTTP requests to HTTPS,65
Azure Logic app is not configured with managed identity,69
Azure Logic app using insecure TLS version,70
Azure Machine Learning Compute Cluster Local Authentication is enabled,71
Azure Machine Learning Compute Cluster Minimum Nodes is not set to 0,69
Azure Machine Learning Workspace is publicly accessible,69
Azure Machine Learning compute instance not configured inside virtual network,66
Azure Machine Learning compute instance not running latest OS Image Version,65
Azure Machine Learning compute instance with local authentication enabled,68
Azure Machine Learning web service API key detected in code,70
Azure Machine Learning workspace Storage account Datastore using Account key based authentication,67
Azure Machine Learning workspace not configured with user-assigned managed identity,65
Azure Machine Learning workspace not encrypted with Customer Managed Key (CMK),68
Azure Machine Learning workspace not enforced with Managed Virtual Network Isolation,69
Azure Machine learning compute instance configured with public IP,66
Azure Machine learning workspace configured with high business impact data have unrestricted network access,72
Azure Machine learning workspace configured with overly permissive network access,73
Azure Machine learning workspace is not configured with private endpoint,66
Azure Managed Identity (user assigned or system assigned) with broad Key Vault access through Built-in Azure roles,67
Azure Managed Identity (user assigned or system assigned) with broad Key Vault management access,69
Azure Managed Identity (user assigned or system assigned) with the Azure built-in roles of Contributor,66
Azure Managed Identity (user assigned or system assigned) with the Azure built-in roles of Owner,68
Azure Managed Identity (user assigned or system assigned) with the Azure built-in roles of Reader,65
Azure Managed Identity with permissions to manage Azure permissions broadly that was unused in the last 90 days,71
Azure MariaDB database server not using latest TLS version,68
Azure MariaDB database server with SSL connection disabled,67
Azure Microsoft Defender for Cloud Defender plans is set to Off,75
Azure Microsoft Defender for Cloud JIT network access monitoring is set to disabled,75
Azure Microsoft Defender for Cloud MCAS integration Disabled,78
Azure Microsoft Defender for Cloud WDATP integration Disabled,78
Azure Microsoft Defender for Cloud adaptive application controls monitoring is set to disabled,76
Azure Microsoft Defender for Cloud disk encryption monitoring is set to disabled,72
Azure Microsoft Defender for Cloud email notification for subscription owner is not set,73
Azure Microsoft Defender for Cloud endpoint protection monitoring is set to disabled,71
Azure Microsoft Defender for Cloud is set to Off for App Service,75
Azure Microsoft Defender for Cloud is set to Off for Azure SQL Databases,72
Azure Microsoft Defender for Cloud is set to Off for Container Registries,73
Azure Microsoft Defender for Cloud is set to Off for Key Vault,71
Azure Microsoft Defender for Cloud is set to Off for SQL servers on machines,73
Azure Microsoft Defender for Cloud is set to Off for Servers,75
Azure Microsoft Defender for Cloud is set to Off for Storage,74
Azure Microsoft Defender for Cloud security alert email notifications is not set,75
Azure Microsoft Defender for Cloud security configurations monitoring is set to disabled,74
Azure Microsoft Defender for Cloud security contact additional email is not set,76
Azure Microsoft Defender for Cloud security contact phone number is not set,75
Azure Microsoft Defender for Cloud set to Off for Agentless container vulnerability assessment,74
Azure Microsoft Defender for Cloud set to Off for Agentless scanning for machines,75
Azure Microsoft Defender for Cloud set to Off for Containers,76
Azure Microsoft Defender for Cloud set to Off for Cosmos DB,74
Azure Microsoft Defender for Cloud set to Off for DNS,74
Azure Microsoft Defender for Cloud set to Off for Databases,76
Azure Microsoft Defender for Cloud set to Off for File Integrity Monitoring,74
Azure Microsoft Defender for Cloud set to Off for Open-Source Relational Databases,75
Azure Microsoft Defender for Cloud set to Off for Resource Manager,75
Azure Microsoft Defender for Cloud system updates monitoring is set to disabled,72
Azure Microsoft Defender for IoT Hub not enabled,70
Azure Microsoft Entra ID account lockout duration less than 60 seconds,66
Azure Microsoft Entra ID account lockout threshold greater than 10,68
Azure Microsoft Entra ID users can consent to apps accessing company data on their behalf not set to verified publishers,63
Azure Monitor Diagnostic Setting does not captures appropriate categories,68
Azure Monitor log profile does not capture all activities,72
Azure Monitoring log profile is not configured to export activity logs,70
Azure MySQL (PaaS) instance with network path from the untrust internet source on TCP port 3306,66
Azure MySQL Database Server SSL connection is disabled,68
Azure MySQL Database Server using insecure TLS version,67
Azure MySQL Flexible Server not configured with private endpoint,67
Azure MySQL database flexible server SSL enforcement is disabled,70
Azure MySQL database flexible server using insecure TLS version,68
Azure Network Security Group allows all traffic on CIFS (UDP Port 445),72
Azure Network Security Group allows all traffic on FTP (TCP Port 21),72
Azure Network Security Group allows all traffic on FTP-Data (TCP Port 20),72
Azure Network Security Group allows all traffic on ICMP (Ping),73
Azure Network Security Group allows all traffic on MSQL (TCP Port 4333),71
Azure Network Security Group allows all traffic on MySQL (TCP Port 3306),70
Azure Network Security Group allows all traffic on NetBIOS (UDP Port 137),72
Azure Network Security Group allows all traffic on NetBIOS (UDP Port 138),71
Azure Network Security Group allows all traffic on NetBIOS DNS (TCP Port 53),69
Azure Network Security Group allows all traffic on NetBIOS DNS (UDP Port 53),70
Azure Network Security Group allows all traffic on PostgreSQL (TCP Port 5432),69
Azure Network Security Group allows all traffic on RDP Port 3389,73
Azure Network Security Group allows all traffic on SMTP (TCP Port 25),72
Azure Network Security Group allows all traffic on SQL Server (TCP Port 1433),71
Azure Network Security Group allows all traffic on SQL Server (UDP Port 1434),71
Azure Network Security Group allows all traffic on SSH port 22,72
Azure Network Security Group allows all traffic on Telnet (TCP Port 23),72
Azure Network Security Group allows all traffic on VNC Listener (TCP Port 5500),72
Azure Network Security Group allows all traffic on VNC Server (TCP Port 5900),71
Azure Network Security Group allows all traffic on Windows RPC (TCP Port 135),72
Azure Network Security Group allows all traffic on Windows SMB (TCP Port 445),72
Azure Network Security Group allows all traffic on ports which are not commonly used,72
Azure Network Security Group having Inbound rule overly permissive to HTTP(S) traffic,65
Azure Network Security Group having Inbound rule overly permissive to all traffic on TCP protocol,64
Azure Network Security Group having Inbound rule overly permissive to all traffic on UDP protocol,64
Azure Network Security Group having Inbound rule overly permissive to all traffic on any protocol,68
Azure Network Security Group with overly permissive outbound rule,68
Azure Network Watcher Network Security Group (NSG) flow logs are disabled,73
Azure Network Watcher Network Security Group (NSG) flow logs retention is less than 90 days,71
Azure Network Watcher not enabled,67
Azure Pipelines commands transmit data over an unencrypted channel,70
Azure Pipelines uses an unpinned container image,69
Azure PostgreSQL (PaaS) instance with network path from the untrust internet source on TCP port 5432,65
Azure PostgreSQL Database Server 'Allow access to Azure services' enabled,71
Azure PostgreSQL Database Server Firewall rule allow access to all IPV4 address,68
Azure PostgreSQL Flexible Server does not enable geo-redundant backups,66
Azure PostgreSQL database flexible server configured with overly permissive network access,73
Azure PostgreSQL database server Infrastructure double encryption is disabled,73
Azure PostgreSQL database server deny public network access setting is not set,67
Azure PostgreSQL database server log retention days is less than or equals to 3 days,62
Azure PostgreSQL database server with SSL connection disabled,67
Azure PostgreSQL database server with connection throttling parameter is disabled,66
Azure PostgreSQL database server with log checkpoints parameter disabled,65
Azure PostgreSQL database server with log connections parameter disabled,65
Azure PostgreSQL database server with log disconnections parameter disabled,65
Azure PostgreSQL database server with log duration parameter disabled,65
Azure PostgreSQL does not use the latest version of TLS encryption,69
Azure PostgreSQL flexible server secure transport parameter is disabled,67
Azure PostgreSQL servers not configured with private endpoint,67
Azure RDP Internet access is not restricted,72
Azure Recovery Services vault is not configured with managed identity,67
Azure Redis Cache does not use the latest version of TLS encryption,69
Azure Resource Group does not have a resource lock,70
Azure SQL Database Namespace is not zone redundant,70
Azure SQL Database server not configured with private endpoint,68
Azure SQL Database with Auditing Retention less than 90 days,68
Azure SQL Databases with disabled Email service and co-administrators for Threat Detection,75
Azure SQL Server (PaaS) with network path from the untrust internet source,69
Azure SQL Server ADS Vulnerability Assessment 'Also send email notifications to admins and subscription owners' is disabled,64
Azure SQL Server ADS Vulnerability Assessment 'Send scan reports to' is not configured,64
Azure SQL Server ADS Vulnerability Assessment (VA) 'Also send email notifications to admins and subscription owners' is disabled,64
Azure SQL Server ADS Vulnerability Assessment (VA) 'Send scan reports to' is not configured,63
Azure SQL Server ADS Vulnerability Assessment (VA) Periodic recurring scans is disabled,68
Azure SQL Server ADS Vulnerability Assessment Periodic recurring scans is disabled,69
Azure SQL Server ADS Vulnerability Assessment is disabled,69
Azure SQL Server allow access to any Azure internal resources,77
Azure SQL Server audit log retention is less than 91 days,66
Azure SQL Server audit log retention is not greater than 90 days,65
Azure SQL Server auditing is disabled,69
Azure SQL Server auditing policy is disabled,69
Azure SQL Server does not have default auditing policy configured,68
Azure SQL Server threat detection alerts are not enabled for all threat types,78
Azure SQL Servers Firewall rule allow access to all IPV4 address,70
Azure SQL Servers Firewall rule allow ingress access from 0.0.0.0/0,69
Azure SQL database Transparent Data Encryption (TDE) encryption disabled,72
Azure SQL database auditing is disabled,69
Azure SQL databases Defender setting is set to Off,70
Azure SQL on Virtual Machine (Linux) with basic authentication,68
Azure SQL server Defender setting is set to Off,68
Azure SQL server TDE protector is not encrypted with BYOK (Use your own key),66
Azure SQL server Transparent Data Encryption (TDE) encryption disabled,72
Azure SQL server not configured with Active Directory admin authentication,69
Azure SQL server public network access setting is enabled,72
Azure SQL server send alerts to field value is not set,62
Azure SQL server using insecure TLS version,67
Azure SQL servers which doesn't have Azure Active Directory admin configured,68
Azure Security Center Defender set to Off for Kubernetes,72
Azure Service Bus Doesn't Use Customer-Managed Key Encryption,70
Azure Service Bus Doesn't Use Double Encryption,69
Azure Service Bus Without Latest TLS Encryption,67
Azure Service Bus Without Managed Identity Provider,69
Azure Service Bus with Local Authentication Enabled,69
Azure Service Bus with Public Network Access Enabled,71
Azure Service Fabric cluster not configured with cluster protection level security,70
Azure Service Principals with broad Key Vault access through Built-in Azure roles,69
Azure Service Principals with broad Key Vault management access,71
Azure Service bus namespace configured with overly permissive authorization rules,73
Azure Service bus namespace configured with overly permissive network access,73
Azure Service bus namespace not configured with Azure Active Directory (Azure AD) authentication,64
Azure SignalR Service not Using Paid SKU for its SLA,76
Azure Spring Cloud API Portal Public Access Is Enabled,74
Azure Spring Cloud API Portal is not enabled for HTTPS,74
Azure Spring Cloud App system-assigned managed identity is disabled,72
Azure Spring Cloud app end-to-end TLS is disabled,72
Azure Spring Cloud service is not configured with virtual network,73
Azure Storage Account 'Trusted Microsoft Services' access not enabled,72
Azure Storage Account Access Key detected in code,70
Azure Storage Account Container with activity log has BYOK encryption disabled,68
Azure Storage Account default network access is set to 'Allow',71
Azure Storage Account storing Cognitive service diagnostic logs is publicly accessible,71
Azure Storage Account storing Machine Learning workspace high business impact data is publicly accessible,71
Azure Storage Account using insecure TLS version,68
Azure Storage Account without Secure transfer enabled,67
Azure Storage Accounts Without Proper Replication,69
Azure Storage Sync Service configured with overly permissive network access,72
Azure Storage account Encryption CMKs Disabled,69
Azure Storage account Encryption Customer Managed Keys Disabled,71
Azure Storage account configured with Shared Key authorization,66
Azure Storage account container storing activity logs is publicly accessible,71
Azure Storage account containing VHD OS disk is not encrypted with CMK,68
Azure Storage account diagnostic setting for blob is disabled,72
Azure Storage account diagnostic setting for file is disabled,71
